#UnclaimedMusicalWorkRightShareRecordId	ResourceRecordId	MusicalWorkRecordId	ISRC	DspResourceId	ResourceTitle	ResourceSubTitle	AlternativeResourceTitle	DisplayArtistName	DisplayArtistISNI	Duration	UnclaimedRightSharePercentage	PercentileForPrioritisation
10257123	45_Tra.56132724	W0963A	USCM50300149	melodyvr::Tra.56132724	WE CAN SMOKE			BIG TYMERS		348	12.5	
10257141	45_Tra.356056553	HA3LHN	GBKQU1876813	melodyvr::Tra.356056553	HIGH ROLLERS			ALCOSTA BLVD		244	50.0	
10257164	45_Tra.224697054	AV957Y	BEK011600042	melodyvr::Tra.224697054	ARCADE			DIMITRI VEGAS & LIKE MIKE		285	25.0	
10257193	45_Tra.644624494	TVCOAI	US2642149111	melodyvr::Tra.644624494	THE SCREAMS (2022 MIX)			INTEGRITY		175	50.0	
10257198	45_Tra.790295191	PI72QT	USLD91751743	melodyvr::Tra.790295191	PAY ATTENTION (FEAT. D- STYLES)			LEE SCOTT		135	50.0	
10257300	45_Tra.139394295	WV7UR8	USQY51443576	melodyvr::Tra.139394295	WUK OFF YUH GYAL			AIDONIA		220	75.0	
10257353	45_Tra.129279143	WVC1I8	GBBRP1343106	melodyvr::Tra.129279143	WHATS ON MY GRAVE			MT. ROYAL		245	54.0	
10257380	45_Tra.397611467	TV79E4	QMHCW1305208	melodyvr::Tra.397611467	THE GATHERING			MICHAEL MARTIN MURPHEY		276	0.04	
10257434	45_Tra.495878467	CA4QNL	FRUM71900909	melodyvr::Tra.495878467	ÇA VA ÇA VIENT			VITAA		206	25.01	
10257547	45_Tra.436768620	H6154C	ITS041714069	melodyvr::Tra.436768620	HOW DEEP IS YOUR LOVE			SANDRO GIBELLINI TRIO SANDRO GIBELLINI		272	20.0	
